被试编号,upper肌肉,模糊熵,1,2,3,4,5,平均值  
H01,LBB,0.05339005675155173, 0.060639893267259826, 0.06364854559230737, 0.0545526168825341, 0.05606757087962766]平均模糊熵值: 0.05765973667465614
H01,LTB,[0.09725656774580915, 0.11591408085797206, 0.1056836576515805, 0.10245642506356623, 0.09240835039073747]平均模糊熵值: 0.10274381634193308
H01,RBB,[0.0587537376241124, 0.06811647776696061, 0.04991818460771702, 0.06097401594681895, 0.06379823323813294]平均模糊熵值: 0.060312129836748385
H01,RTB,[0.07915903678555725, 0.07550541900296559, 0.08331244794207904, 0.07731529919554181, 0.08362979978974361]平均模糊熵值: 0.07978440054317745
H02,LBB,[0.05968567209040965, 0.06484632484547037, 0.062366602274724015, 0.05826014776254895, 0.06428663646927935] 平均模糊熵值: 0.061889076688486463
H02,LTB,[0.06880342871428646, 0.07824643129774678, 0.07139607415668225, 0.07306417978356405, 0.07761419064049946]平均模糊熵值: 0.0738248609185558
H02,RBB,[0.05740366173460976, 0.06417990544318697, 0.08495805839945358, 0.06103837943108825, 0.07483466918136727]平均模糊熵值: 0.06848293483794117
H02	RTB	 0.06440837731312771

H06,LBB,[0.0661880909143776, 0.05351951873271077, 0.06370876607440734, 0.0648821795470712, 0.06744055715507669]平均模糊熵值: 0.06314782248472872
