编号,肌肉,test1 熵值/RMS,test2熵值/RMS,test3熵值/RMS,test4熵值/RMS,test5熵值/RMS,平均熵值
H01,LBB,0.0532413503240008, 0.06388491918868512, 0.0633799213128884, 0.05543262378281811, 0.056344399594486345,0.05845664284057576
,,50.07923527790847, 60.6784508039887, 57.417161826359745, 55.430832252501595, 56.44563753265457,
,LTB,0.09726364534033795,0.11828784170094388,0.10789965973526074,0.1038093274708999,0.09396423782597287,0.10424494241468307
,,39.91645772049896,37.176415205247324,41.692694117968934,44.01602917961236,48.22333173018428,
,RBB,0.05919247070530088,0.07054627817195726,0.05025833040598005,0.06229448759453227,0.06424990092201889,0.06130829355995787
,,164.01924649286474,143.01755765851306,160.41828884238075,159.11119538790962,135.57733386911775,
,RTB,0.09940788781288636,0.09472436074948411,0.08458583433384627,0.08759209008125181,0.08465252132877023,0.09019253886124776
,,87.374092553668,89.61798165458434,82.72102956970531,79.15708156831383,79.9380184789654,
,,,,,,,
H02,LBB,0.06235773828531178,0.06705115109558325,0.06527137419136676,0.05865628416610214,0.06600801774674615,0.06386891309702201
,,141.24580205137428,147.37166666361966,141.46392946742327,163.0092220694836,162.3074736336552,
,LTB,0.06933350793736394,0.07735960817545363,0.0738832524018417,0.07325670136000019,0.07592266369688373, 0.07395114671430864
,,122.47504079712715,113.30314662033928,124.26188344383404,141.95511019135697,148.4446310020889,
,RBB,0.05723895087478604,0.06559538472972228,0.08476161248393634,0.060818501701532586,0.07533055312920513, 0.06874900058383647
,,212.74733141572045,167.86222197836324,168.05242346500418,183.51663416780315,176.73874764912387,
,RTB,0.07059098023195777,0.06907419214338818,0.06284132209673811,0.06132577222488079,0.058209619868673686,0.06440837731312771
,,203.39405563003828,199.94184055314628,160.67635234955748,156.48443581527454,164.6703380545293	,
,,,,,,,
H03,LBB,0.0739540543638534,0.07470400671886569,0.06731285307049452,0.07664740368644797,0.0664199705865859,0.07180765768524949
,,97.67861535675958,85.21915991511678,79.36458979263857,74.75529546312245,60.2059183967062,
,LTB,0.10375262982336443,0.08921485599972358,0.09032919832447318,0.0866079919458468,0.09054586605451377,0.09209010842958434
,,28.834214662081088,30.82638413984472,32.30736955994204,36.39299949585349,42.79609127923628,
,RBB,0.07681859859060604,0.07108393278376203,0.07724740094664274,0.07296904204173905,0.06111935205831532,0.07184766528421303
,,81.68885086924251,63.6125685881652,61.84446492406642,55.11088949390418,49.27847552662346,
,RTB,0.0940282180117439,0.07921398166640915,0.0941843922174196,0.08965621154676108,0.0906030207144063,0.089537164831348
,,39.73380674135947,44.3576183246602,43.35312778538807,42.572963886349896,40.675422419340585,
,,,,,,,
HO4,LBB,0.0786039735178843,0.06575621091612018,0.06033335632139337, 0.06902631559219631,0.08244270314316272,0.07123251189815137
,,80.0103678762106,63.80069411311493,51.1885720457179,46.97585746288079,46.87025004995894,
,LTB,0.08611817442181259, 0.08355956529390475, 0.09116662850355185, 0.11275665989646523, 0.11149690628995325,0.09701958688113753
,,100.02206150773169,69.66162919766622,65.66939865861133,67.71906114626951,75.90175247580525,
,RBB,0.06999102941628867,0.07073279730168792,0.07504868435195135,0.07455374518142423,0.07709702227319605,0.07348465570490964
,,119.42393842980542,108.58099323295343,90.61193686615135,82.56814831817002,80.876709724329,
,RTB,0.09940788781288636,0.09472436074948411,0.08458583433384627,0.08759209008125181,0.08465252132877023,0.09019253886124776
,,87.374092553668,89.61798165458434,82.72102956970531,79.15708156831383,79.9380184789654,
,,,,,,,
H05,LBB,0.07988059675007843,0.07579823423968658,0.08323429957478125,0.08071238041283603,0.06334020865715974,0.0765931439269084
,,70.48257050861363,84.48536105735957,79.98595018325831,71.38758329859446,72.88670005403496,
