编号,肌肉,iemg,mpf,mf
S11,LBB,"1898.4406200000014, 1792.1107314999983, 1582.1742295000026, 1563.16622, 1543.9746924999993","50.30561484417965, 49.9977311985366, 50.0381089829084, 50.018333645812895, 50.132289728806555","19.53125, 20.5078125, 20.5078125, 20.5078125, 20.5078125"
,LTB,"1083.7723085000007, 1174.6021239999939, 1079.2324654999966, 1198.1912490000043, 1019.9204520000044","50.43165424071967, 49.987098713797145, 49.797946973178206, 49.97748576863857, 49.809300635395","18.5546875, 18.5546875, 17.578125, 17.578125, 17.578125"
,RBB,"1333.6941779999995, 1365.8698240000144, 1362.5160139999712, 1409.547673000007, 1282.6745564999321","51.66158858192734, 51.9696987125091, 53.529736485021616, 53.17833470318113, 53.190921485396714","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,RTB,"3526.7666630000044, 2753.0286350000515, 2003.0093820000252, 2106.4271684999403, 1831.3928654999481","52.225840713441734, 53.73464718789566, 55.51874318319691, 56.4910650357769, 56.31772516445381","16.6015625, 16.6015625, 16.6015625, 15.625, 16.6015625"
,,,,
S12,LBB,"1273.3295409999928, 1197.9749564999895, 1487.1050299999674, 1418.2287280000148, 1529.4593799999927","54.5827668045664, 52.614626564291754, 52.27180444222119, 52.16046290000441, 52.977405782294014","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,LTB,"971.4010359999997, 961.376323499976, 1102.8963394999923, 1175.6051145000047, 1165.6432804999927","51.09373355522999, 51.9668310834201, 50.91646157952133, 51.865904857751744, 53.10689375124657","17.578125, 17.578125, 17.578125, 16.6015625, 17.578125"
,RBB,"787.3630265000038, 691.6870619999872, 623.6071405000109, 605.4551900000014, 620.9672469999904","57.210553013878375, 57.594252768675915, 56.45042462185558, 57.08715103723894, 56.775503759762636","18.5546875, 18.5546875, 19.53125, 18.5546875, 18.5546875"
,RTB,"390.4883260000007, 636.193875499996, 763.9434330000059, 641.1686995000002, 697.0895565000039","50.3159383270512, 50.07929156937856, 50.093866603543724, 50.013016520599216, 50.087464538633384","24.4140625, 22.4609375, 22.4609375, 22.4609375, 23.4375"
,,,,
S13,LBB,"446.0473999999997, 399.5815974999973, 351.1605640000025, 349.3278805000029, 395.80965399999957","48.62257759057076, 48.71243399958516, 49.31915692811576, 49.127730369844805, 49.094772823232645","19.53125, 20.5078125, 21.484375, 21.484375, 21.484375"
,LTB,"123.11312900000013, 111.31915950000055, 111.10691199999832, 122.61443549999855, 154.21335400000197","46.3482766132119, 46.57788839697825, 47.026544892124605, 47.74041529827812, 47.56537582874314","21.484375, 21.484375, 21.484375, 21.484375, 21.484375"
,RBB,"706.3877845000027, 817.439178999996, 731.0786364999952, 797.0345959999942, 847.3747670000186","49.97035356904289, 49.57388091624403, 48.204685737260846, 48.05342774754841, 48.52634491571535","16.6015625, 17.578125, 17.578125, 17.578125, 17.578125"
,RTB,"1001.8597714999964, 997.2415979999888, 1000.4859209999782, 1012.317440500005, 1193.7885684999733","50.77013446518837, 51.799546180977536, 51.65621581446644, 51.67172034115468, 52.88388920105287","17.578125, 17.578125, 16.6015625, 16.6015625, 17.578125"
,,,,
S14,LBB,"1397.6363124999941, 1200.779429000023, 1383.99554949997, 1608.684019999956, 1593.3084545000531","62.216048513965724, 61.514906033486064, 60.85222785564946, 61.019715600486116, 61.44111584470375","16.6015625, 16.6015625, 15.625, 15.625, 15.625"
,LTB,"1766.9054995000083, 1437.9533909999732, 1506.8220225000275, 1635.8390324998877, 1592.505105500027","67.69495661837638, 69.29799203302633, 68.50736123080489, 70.60611003329555, 70.8201395294375","14.6484375, 16.6015625, 16.6015625, 16.6015625, 15.625"
,RBB,"648.4090399999998, 423.1639040000018, 467.16741400001274, 498.111302499982, 348.81043199999186","52.17423592591934, 52.620638288752005, 50.63280175593492, 49.921737574314115, 50.6726530507007","18.5546875, 18.5546875, 18.5546875, 17.578125, 18.5546875"
,RTB,"406.1705350000014, 361.6962860000105, 338.2716820000055, 363.75021850000087, 352.93877849999205","50.563505533387946, 49.758896633775066, 51.12224930211038, 50.417927354956525, 51.97180433062156","18.5546875, 17.578125, 18.5546875, 18.5546875, 18.5546875"
,,,,
S15,LBB,"916.6267679999931, 1642.0978310000655, 1640.718384500027, 1262.2694519999811, 1216.4716909999893","55.913527021759016, 57.73682543559796, 57.3184250357281, 58.06590621626759, 58.81097299872453","16.6015625, 15.625, 16.6015625, 16.6015625, 16.6015625"
,LTB,"1217.0152365000001, 1681.9855515000022, 1582.1475015000144, 1230.4743884999837, 1219.1493375000139","59.567614335646525, 58.45378431292652, 57.84702958018102, 59.73082500188748, 61.20446321557073","17.578125, 16.6015625, 16.6015625, 17.578125, 17.578125"
,RBB,"360.47507150000024, 624.0665484999954, 573.4439275000032, 370.3492669999981, 346.297340999992","57.023630023326824, 56.2110834888755, 57.21423121961431, 56.2347848289596, 54.503200750908796","20.5078125, 19.53125, 19.53125, 20.5078125, 21.484375"
,RTB,"202.05661049999935, 310.39182550001, 199.37755149999867, 138.4930725000039, 165.07437850000363","52.826392387092554, 53.243782917924634, 53.72249251196792, 55.00496755577869, 56.44129375752152","20.5078125, 19.53125, 20.5078125, 21.484375, 21.484375"
