编号,肌肉,iemg,mpf,mf
H07,LBB,"1688.219066499998, 1558.4027910000132, 1649.040768000044, 1789.8777030001306, 1745.382806000031","57.05925518854656, 56.69115355391226, 58.72511973584657, 58.554281736787345, 58.03624904899024","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,LTB,"1664.3263410000045, 1507.5316525000294, 1666.46472849998, 1846.7892215000409, 1790.60117999995","62.76882136576578, 62.15904687558654, 62.81446444355882, 62.42306053146634, 62.78172758672077","16.6015625, 17.578125, 16.6015625, 16.6015625, 16.6015625"
,RBB,"2453.0161215000085, 2363.916427999971, 2313.2112275000004, 2656.9782089998293, 2484.020650000003","54.031922280370125, 54.32965662882469, 54.37969759857466, 54.331103509582064, 55.46755839893431","15.625, 15.625, 15.625, 15.625, 15.625"
,RTB,"1994.626170999994, 1816.8366420000182, 1937.7605355000157, 2009.4508384999438, 2026.2213160000515","61.71334048605455, 61.41234998165991, 62.29073552271623, 62.051949624810284, 61.92569501004309","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,,,,
H08,LBB,"1277.0549180000016, 1386.2659925000241, 1288.6198080000006, 1305.8648260000073, 1383.9664930000054","58.096085519974075, 56.16074694092825, 56.26321026160799, 56.41855191503777, 55.23613849766103","15.625, 15.625, 15.625, 15.625, 14.6484375"
,LTB,"1963.274785500006, 1876.6039029999686, 1779.956542499971, 1701.9421309999768, 1786.604706000015","65.3447638783233, 65.65830382649264, 66.57034203596753, 67.05090988304616, 65.48602249240422","16.6015625, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,RBB,"1296.0972040000013, 1294.2706760000099, 1203.8965460000304, 1147.271367999958, 1130.6439950000035","61.15540401060719, 61.41870955214553, 61.60300956242089, 61.826154354282274, 62.56402519166212","16.6015625, 16.6015625, 16.6015625, 17.578125, 16.6015625"
,RTB,"2738.7171404999954, 2448.2227685001103, 2513.953943499848, 2573.583797999876, 2446.0239189999684","61.058256957300145, 61.271074521852114, 62.58300224039377, 62.77741103875735, 61.04177393493344","15.625, 15.625, 15.625, 15.625, 14.6484375"
,,,,
H09,LBB,"1100.0420639999963, 915.4669970000108, 820.5630360000266, 714.5460314999971, 760.4707134999915","60.26734767466242, 61.29845029702311, 60.972441599556845, 60.81222515933701, 59.95547161595096","16.6015625, 16.6015625, 17.578125, 17.578125, 16.6015625"
,LTB,"1319.9437169999987, 1135.6508985000685, 1042.1761294999856, 1015.0539694999754, 880.7599609999627","65.14585040693363, 64.77716712622832, 64.74886948121339, 64.8828934129414, 63.913997832523165","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,RBB,"2670.956871999995, 2761.733299999931, 2673.5633415000425, 3049.3618500001753, 3317.3121100000235","62.636930894061415, 62.318294391938124, 63.66084960168882, 63.853864948860846, 62.64607292062516","15.625, 0.9765625, 14.6484375, 14.6484375, 13.671875"
,RTB,"2367.5401829999955, 2135.9481279999504, 1979.2855874999375, 2227.32717449999, 2462.2607490001183","67.74934242043088, 66.55696053287782, 65.39241571933344, 67.77042236269745, 68.18469383585551","15.625, 15.625, 16.6015625, 15.625, 15.625"
,,,,
S01,LBB,"912.559596999999, 1256.8412699999938, 1229.1565395000011, 1201.1705340000033, 1287.049527500033","49.402396154896515, 49.12248789884176, 49.21480694447375, 47.45653631980338, 48.92302910913808","17.578125, 16.6015625, 15.625, 15.625, 15.625"
,LTB,"766.2386755000018, 771.3958375000138, 707.1628919999987, 671.1676164999883, 680.0472920000179","62.80929174157711, 62.24331072267356, 63.03343842233686, 61.56989109337535, 61.52218431008835","18.5546875, 17.578125, 18.5546875, 17.578125, 17.578125"
,RBB,"1657.2774485000014, 2171.8860484999973, 2179.0699330000425, 2666.7885274999867, 2698.3267684998355","52.470206548093785, 52.08294997565873, 51.774867146857176, 52.0251755487694, 51.42155741764875","15.625, 15.625, 15.625, 13.671875, 0.9765625"
,RTB,"1060.0016120000016, 866.0107405000239, 823.2056325000024, 782.0710555000315, 768.8380895000136","60.53698297876458, 60.689133482978754, 59.88046814170574, 58.40264535247908, 59.21769171448338","16.6015625, 17.578125, 17.578125, 17.578125, 17.578125"
,,,,
S02,LBB,"130.06191149999978, 132.02438700000266, 2186.5808289999977, 1610.4018040000078, 0.0","54.52512950004345, 64.1312370585302, 51.01806022215074, 51.0405401988696, nan","21.484375, 20.5078125, 19.53125, 19.53125, 0.0"
,LTB,"154.21785549999998, 342.9830149999847, 4980.815207000044, 4053.4441569999804, 5076.106800500029","62.383426638671914, 63.46152445379305, 50.709147191675264, 50.80508660366751, 51.04757557622123","18.5546875, 16.6015625, 17.578125, 17.578125, 15.625"
,RBB,"645.7533170000015, 863.2120040000033, 864.3960229999914, 928.7028489999851, 926.9909825000396","50.814694528310895, 51.66323092014753, 51.88794743806199, 52.02007639516029, 52.34625525524108","17.578125, 17.578125, 17.578125, 16.6015625, 16.6015625"
,RTB,"1103.195329000001, 1245.7658470000013, 1106.529135000006, 1372.9194125000051, 1530.5460824999902","62.02305520524354, 59.66733885757727, 58.492130016358104, 58.868829291945005, 58.04134530667771","17.578125, 16.6015625, 16.6015625, 16.6015625, 16.6015625"
,,,,
S03,LBB,"1139.133385499996, 960.8240494999891, 860.1569870000145, 843.1350204999753, 939.8148670000589","60.380044289060514, 58.77782582640217, 57.7785074381299, 57.75152845563307, 60.377912169573186","17.578125, 18.5546875, 18.5546875, 18.5546875, 17.578125"
,LTB,"3863.1010575000023, 3599.403470999957, 3348.332167000066, 3175.0503244999227, 3407.8225929999685","54.4427577217644, 53.61793086654464, 54.01420664425872, 53.74843021681542, 55.32276152844512","16.6015625, 16.6015625, 15.625, 16.6015625, 16.6015625"
,RBB,"908.3877020000006, 1060.1078959999863, 854.4731585000347, 1055.3123215000005, 732.9887269999772","49.728981647719934, 49.135577965917214, 48.48925245117797, 48.55190595714061, 48.247593830626975","17.578125, 16.6015625, 16.6015625, 16.6015625, 17.578125"
,RTB,"555.1976565000006, 581.8791955000078, 407.8304890000015, 401.70792350000585, 440.52282950000387","50.492359154569904, 47.5952776026782, 43.726286670990866, 46.382326816619624, 45.07152895314464","18.5546875, 17.578125, 18.5546875, 17.578125, 18.5546875"
,,,,
S04,LBB,"1100.096033000002, 993.6695874999988, 704.512523499981, 569.9208524999776, 587.313249999975","61.50555604232228, 62.166327722710264, 59.61875364787931, 56.183960422376344, 56.16077736195495","17.578125, 17.578125, 17.578125, 17.578125, 17.578125"
,LTB,"5156.192931999989, 6248.350741500009, 5550.570617500029, 4442.443579500017, 2105.6137314999514","51.419405752144606, 51.26313618884108, 51.130772085077176, 51.34620070638587, 52.709317372612325","16.6015625, 16.6015625, 16.6015625, 16.6015625, 17.578125"
,RBB,"277.2273004999988, 264.0073935000003, 231.0258655000021, 188.70008250000484, 114.17276699999984","58.35622833112072, 60.35294056009629, 56.89671558099609, 59.03642216906418, 52.666540697210245","19.53125, 20.5078125, 21.484375, 22.4609375, 23.4375"
,RTB,"142.6843205000001, 162.32666599999985, 132.55236349999916, 127.36926600000314, 111.85701300000335","49.274201861947304, 48.74825759883386, 47.797747957412035, 48.59872278901436, 49.947343114698214","21.484375, 21.484375, 21.484375, 21.484375, 22.4609375"
